Date,Post.Expan,Kc.Value,Always.Cane,Crop.ToCane,Kascol,Shrub.ToCane,Unknown.ToCane,KcET.AlwaysCane,KcET.CropToCane,KcET.Kascol,KcET.ShrubToCane,KcET.UnknownToCane
6/26/2011,FALSE,0.4,46.75,45.75,45.91,45.87,46,18.7,18.3,18.36,18.35,18.4
7/4/2011,FALSE,0.4,40.96,40.6,41.28,40.75,40.69,16.38,16.24,16.51,16.3,16.28
7/12/2011,FALSE,0.4,43.29,43.51,43.93,43.65,43.13,17.32,17.4,17.57,17.46,17.25
7/20/2011,FALSE,0.4,48.23,47.93,48.9,48.36,47.7,19.29,19.17,19.56,19.34,19.08
7/28/2011,FALSE,0.4,48.06,47.61,49.56,48.37,47.86,19.22,19.04,19.82,19.35,19.14
8/5/2011,FALSE,0.42,50.52,50.26,52.54,51.17,50.63,21.22,21.11,22.07,21.49,21.26
8/13/2011,FALSE,0.47,52.95,53.05,55.17,53.92,53.09,24.89,24.93,25.93,25.34,24.95
8/21/2011,FALSE,0.51,55.85,56.24,58.39,56.68,55.67,28.48,28.68,29.78,28.91,28.39
8/29/2011,FALSE,0.56,57.4,58.06,59.53,58.07,57.18,32.14,32.51,33.34,32.52,32.02
9/6/2011,FALSE,0.6,58.92,59.8,61.3,59.61,58.67,35.35,35.88,36.78,35.77,35.2
9/14/2011,FALSE,0.64,61.96,62.83,64.46,62.44,62.27,39.65,40.21,41.25,39.96,39.85
9/22/2011,FALSE,0.69,62.47,63.26,64.84,62.67,62.84,43.1,43.65,44.74,43.24,43.36
9/30/2011,FALSE,0.73,61.62,61.97,63.66,61.57,62.19,44.98,45.24,46.47,44.95,45.4
10/8/2011,FALSE,0.78,60.4,60.3,62.47,60.14,60.96,47.11,47.03,48.73,46.91,47.55
10/16/2011,FALSE,0.82,65.04,64.38,66.8,64.25,65.7,53.33,52.79,54.78,52.68,53.87
10/24/2011,FALSE,0.87,69.78,69.39,70.38,69.03,71.11,60.71,60.37,61.23,60.06,61.87
11/1/2011,TRUE,0.91,62.78,62.56,63.5,62.36,64.05,57.13,56.93,57.79,56.75,58.29
11/9/2011,TRUE,0.96,68.56,68.03,68.73,67.93,69.58,65.82,65.31,65.98,65.21,66.8
11/17/2011,TRUE,1,66.58,66.23,68.19,65.86,67.74,66.58,66.23,68.19,65.86,67.74
11/25/2011,TRUE,1.04,59.27,59.03,60.41,58.98,60.19,61.64,61.39,62.83,61.34,62.6
12/3/2011,TRUE,1.09,62.89,62.81,63.11,62.9,64.34,68.55,68.46,68.79,68.56,70.13
12/11/2011,TRUE,1.13,43.78,44.2,40.69,44.25,44.31,49.47,49.95,45.98,50,50.07
12/19/2011,TRUE,1.18,60.17,60.89,59.33,60.47,60.93,71,71.85,70.01,71.35,71.9
12/27/2011,TRUE,1.22,32.23,32.69,31.43,32.64,32.64,39.32,39.88,38.34,39.82,39.82
1/1/2012,TRUE,1.25,51.27,53.66,50.01,52.93,52.34,64.09,67.07,62.51,66.16,65.43
1/9/2012,TRUE,1.25,51.54,53.23,50.08,52.48,53.08,64.42,66.54,62.6,65.6,66.35
1/17/2012,TRUE,1.25,47.81,49.54,45.43,48.3,49.07,59.76,61.92,56.79,60.38,61.34
1/25/2012,TRUE,1.25,47.16,48.28,44.99,47.28,47.76,58.95,60.35,56.24,59.1,59.7
2/2/2012,TRUE,1.25,50.42,51.81,49.67,50.91,50.94,63.03,64.76,62.09,63.64,63.67
2/10/2012,TRUE,1.25,45.62,46.49,43.9,46.17,45.94,57.02,58.11,54.88,57.71,57.42
2/18/2012,TRUE,1.25,48.11,48.68,45.71,49.15,48.6,60.14,60.85,57.14,61.44,60.75
2/26/2012,TRUE,1.25,55.98,55.95,54.13,56.87,57.01,69.97,69.94,67.66,71.09,71.26
3/5/2012,TRUE,1.25,47.89,48.95,44.07,49.45,48.47,59.86,61.19,55.09,61.81,60.59
3/13/2012,TRUE,1.25,54.7,55.47,51.33,55.51,55.13,68.38,69.34,64.16,69.39,68.91
3/21/2012,TRUE,1.25,50.39,51.42,47.88,51.5,50.71,62.99,64.28,59.85,64.38,63.39
3/29/2012,TRUE,1.25,44.59,44.8,41.92,45.15,45.53,55.74,56,52.4,56.44,56.91
4/6/2012,TRUE,1.21,48.25,48.29,47.07,48.25,49.1,58.38,58.43,56.95,58.38,59.41
4/14/2012,TRUE,1.14,48.97,48.83,47.76,48.07,49.85,55.83,55.67,54.45,54.8,56.83
4/22/2012,TRUE,1.08,47.83,47.01,46.15,46.25,48.62,51.66,50.77,49.84,49.95,52.51
4/30/2012,TRUE,1.01,47.81,46.59,45.5,45.7,48.54,48.29,47.06,45.95,46.16,49.03
5/8/2012,FALSE,0.95,45.17,43.67,42.8,43.17,45.34,42.91,41.49,40.66,41.01,43.07
5/16/2012,FALSE,0.88,45.41,43.51,42.71,42.98,45.13,39.96,38.29,37.58,37.82,39.71
5/24/2012,FALSE,0.82,43.78,41.47,41.07,41.08,43.1,35.9,34.01,33.68,33.69,35.34
6/1/2012,FALSE,0.75,42.51,40.37,40.43,39.72,41.72,31.88,30.28,30.32,29.79,31.29
6/9/2012,FALSE,0.75,41.44,39.65,39.7,38.92,40.69,31.08,29.74,29.78,29.19,30.52
6/17/2012,FALSE,0.75,40.47,39,39.07,38.45,39.64,30.35,29.25,29.3,28.84,29.73
6/25/2012,FALSE,0.75,43.9,42.65,42.58,41.77,43.31,32.92,31.99,31.93,31.33,32.48
